text,intent
muốn thuê căn hộ ở huyện Ba Vì có phòng ngủ giá khoảng 4 tỷ diện tích khoảng 75 mét vuông,real_estate
cần mua đất ở quận Hoàng Mai có giấy tờ không xác định,real_estate
Tôi muốn tìm đất ở quận Phú Nhuận giá khoảng 200 triệu diện tích khoảng 100 m2,real_estate
cần thuê phòng trọ ở huyện Thanh Trì có giấy tờ không xác định diện tích khoảng 10 mét vuông,real_estate
cần tìm nhà xưởng có hợp đồng mua bán diện tích khoảng 300 m2,real_estate
muốn tìm văn phòng ở huyện Mê Linh có 1 tầng diện tích khoảng 10 mét vuông,real_estate
Mình muốn mua nhà có giấy tờ hợp lệ có văn phòng,real_estate
Tui muốn thuê văn phòng diện tích khoảng 30 m2,real_estate
Tôi cần thuê văn phòng ở huyện Sóc Sơn có hợp đồng mua bán giá khoảng 3 triệu,real_estate
muốn mua nhà xưởng có giấy phép xây dựng diện tích khoảng 100 mét vuông,real_estate
Mình muốn tìm văn phòng ở quận Thanh Xuân có 6 tầng,real_estate
Tôi muốn tìm phòng trọ ở quận Bình Thạnh có sổ hồng giá khoảng 2 triệu,real_estate
cần thuê phòng trọ ở quận Bình Tân có 6 tầng có giấy phép xây dựng diện tích khoảng 10 m2,real_estate
Tui muốn tìm mặt bằng diện tích khoảng 300 mét vuông,real_estate
Tôi muốn mua văn phòng ở quận Hà Đông diện tích khoảng 30 m2,real_estate
Tui cần thuê mặt bằng ở quận Hoàn Kiếm giá khoảng 100 triệu,real_estate
cần mua phòng trọ ở huyện Ứng Hoà,real_estate
muốn thuê văn phòng ở quận Thanh Xuân có 2 tầng có sổ hồng,real_estate
Tôi cần mua văn phòng có hợp đồng mua bán,real_estate
Tôi muốn mua phòng trọ ở huyện Đông Anh có 5 tầng,real_estate
Tôi muốn tìm phòng trọ ở quận Tân Bình có 1 tầng có giấy phép xây dựng giá khoảng 3 triệu diện tích khoảng 20 m2,real_estate
cần tìm đất ở quận Hoàn Kiếm giá khoảng 300 triệu diện tích khoảng 200 m2,real_estate
Tôi muốn mua đất có hợp đồng mua bán giá khoảng 100 triệu,real_estate
Tôi cần tìm phòng trọ ở huyện Phúc Thọ có giấy phép xây dựng,real_estate
cần mua mặt bằng ở quận Tây Hồ,real_estate
Tôi muốn tìm nhà ở quận Hai Bà Trưng giá khoảng 2 tỷ,real_estate
Mình muốn thuê nhà ở huyện Ứng Hoà có 2 tầng có giấy phép xây dựng,real_estate
Mình cần thuê căn hộ có xe máy,real_estate
Mình cần thuê đất có giấy tờ hợp lệ,real_estate
muốn mua văn phòng ở quận Hà Đông có hợp đồng mua bán giá khoảng 1 triệu,real_estate
muốn mua văn phòng ở quận Đống Đa có 1 tầng có giấy tờ hợp lệ,real_estate
Mình cần thuê nhà có hợp đồng mua bán,real_estate
Tôi cần mua nhà ở huyện Gia Lâm có 2 tầng có giấy tờ không xác định có ban công,real_estate
Mình muốn thuê mặt bằng ở huyện Ba Vì có giấy phép xây dựng giá khoảng 100 triệu,real_estate
Tui muốn mua căn hộ ở huyện Cần Giờ có 1 tầng có giấy tờ không xác định,real_estate
muốn thuê nhà xưởng ở huyện Bình Chánh có sổ hồng giá khoảng 100 triệu diện tích khoảng 300 m2,real_estate
muốn thuê căn hộ có ki ốt giá khoảng 5 tỷ diện tích khoảng 100 m2,real_estate
muốn thuê đất có hợp đồng mua bán,real_estate
Mình muốn thuê nhà xưởng có giấy phép xây dựng,real_estate
cần mua đất,real_estate
Tôi cần tìm phòng trọ có 5 tầng,real_estate
muốn mua căn hộ ở quận Hoàn Kiếm có giấy phép xây dựng giá khoảng 6 tỷ,real_estate
muốn mua căn hộ có 6 tầng có phòng thờ,real_estate
Mình cần mua đất ở huyện Thanh Trì giá khoảng 100 triệu,real_estate
cần tìm căn hộ có hợp đồng mua bán diện tích khoảng 75 mét vuông,real_estate
Tôi muốn thuê đất có sổ hồng giá khoảng 300 triệu,real_estate
Tui muốn mua đất ở huyện Sóc Sơn giá khoảng 100 triệu diện tích khoảng 200 m2,real_estate
Tui muốn mua nhà có 6 tầng có hợp đồng mua bán,real_estate
cần thuê văn phòng ở huyện Nhà Bè,real_estate
Tui cần tìm mặt bằng ở huyện Gia Lâm có giấy phép xây dựng giá khoảng 300 triệu diện tích khoảng 300 m2,real_estate
